tag	value
0	Whole genome sequencing
1	Exome sequencing
2	Genotyping by array
3	Transcriptome profiling by high-throughput sequencing
4	Transcriptome profiling by array
5	Amplicon sequencing
6	Methylation binding domain sequencing
7	Methylation profiling by high-throughput sequencing
8	Phenotype information
9	Study summary information
10	Genomic variant calling
11	Chromatin accessibility profiling by high-throughput sequencing
12	Histone modification profiling by high-throughput sequencing
13	Chip-Seq
