tag	value
0	CM000663.2
1	CM000664.2
2	CM000665.2
3	CM000666.2
4	CM000667.2
5	CM000668.2
6	CM000669.2
7	CM000670.2
8	CM000671.2
9	CM000672.2
10	CM000673.2
11	CM000674.2
12	CM000675.2
13	CM000676.2
14	CM000677.2
15	CM000678.2
16	CM000679.2
17	CM000680.2
18	CM000681.2
19	CM000682.2
20	CM000683.2
21	CM000684.2
22	CM000685.2
23	CM000686.2
24	CM000663.2
25	CM000664.2
26	CM000665.2
27	CM000666.2
28	CM000667.2
29	CM000668.2
30	CM000669.2
31	CM000670.2
32	CM000671.2
33	CM000672.2
34	CM000673.2
35	CM000674.2
36	CM000675.2
37	CM000676.2
38	CM000677.2
39	CM000678.2
40	CM000679.2
41	CM000680.2
42	CM000681.2
43	CM000682.2
44	CM000683.2
45	CM000684.2
46	CM000685.2
47	CM000686.2
48	CM000663.1
49	CM000664.1
50	CM000665.1
51	CM000666.1
52	CM000667.1
53	CM000668.1
54	CM000669.1
55	CM000670.1
56	CM000671.1
57	CM000672.1
58	CM000673.1
59	CM000674.1
60	CM000675.1
61	CM000676.1
62	CM000677.1
63	CM000678.1
64	CM000679.1
65	CM000680.1
66	CM000681.1
67	CM000682.1
68	CM000683.1
69	CM000684.1
70	CM000685.1
71	CM000686.1
72	CM000663.1
73	CM000664.1
74	CM000665.1
75	CM000666.1
76	CM000667.1
77	CM000668.1
78	CM000669.1
79	CM000670.1
80	CM000671.1
81	CM000672.1
82	CM000673.1
83	CM000674.1
84	CM000675.1
85	CM000676.1
86	CM000677.1
87	CM000678.1
88	CM000679.1
89	CM000680.1
90	CM000681.1
91	CM000682.1
92	CM000683.1
93	CM000684.1
94	CM000685.1
95	CM000686.1
96	CM000663.1
97	CM000664.1
98	CM000665.1
99	CM000666.1
100	CM000667.1
101	CM000668.1
102	CM000669.1
103	CM000670.1
104	CM000671.1
105	CM000672.1
106	CM000673.1
107	CM000674.1
108	CM000675.1
109	CM000676.1
110	CM000677.1
111	CM000678.1
